,name,composer,time_signature,styles
0,Ballade,Debussy,4/4,Impressionism
1,Berceuse Heroique,Debussy,2/2,Impressionism
2,Children's Corner Part 1,Debussy,4/4,Impressionism
3,Children's Corner Part 2,Debussy,2/2,Impressionism
4,Children's Corner Part 3,Debussy,3/4,Impressionism
5,Children's Corner Part 4,Debussy,4/4,Impressionism
6,Children's Corner Part 5,Debussy,4/4,Impressionism
7,Children's Corner Part 6,Debussy,2/4,Impressionism
8,D'un Cahier d'Esquisses,Debussy,6/8,Impressionism
9,Danse Bohemienne,Debussy,2/4,Impressionism
10,Danse,Debussy,6/8,Impressionism
11,Deux Arabesques Part 1,Debussy,4/4,Impressionism
12,Deux Arabesques Part 2,Debussy,4/4,Impressionism
13,Elegie,Debussy,4/4,Impressionism
14,Estampes Part 1,Debussy,4/4,Impressionism
15,Estampes Part 2,Debussy,2/4,Impressionism
16,Estampes Part 3,Debussy,2/2,Impressionism
17,Etudes Part 10,Debussy,9/8,Impressionism
18,Etudes Part 11,Debussy,3/4,Impressionism
19,Etudes Part 12,Debussy,3/8,Impressionism
20,Etudes Part 1,Debussy,4/4,Impressionism
21,Etudes Part 2,Debussy,4/4,Impressionism
22,Etudes Part 3,Debussy,6/8,Impressionism
23,Etudes Part 4,Debussy,3/4,Impressionism
24,Etudes Part 5,Debussy,3/8,Impressionism
25,Etudes Part 6,Debussy,3/4,Impressionism
26,Etudes Part 7,Debussy,2/4,Impressionism
27,Etudes Part 8,Debussy,6/8,Impressionism
28,Etudes Part 9,Debussy,4/4,Impressionism
29,Hommage A Haydn,Debussy,3/4,Impressionism
30,Images 1ere serie Part 1,Debussy,4/8,Impressionism
31,Images 1ere serie Part 2,Debussy,3/2,Impressionism
32,Images 1ere serie Part 3,Debussy,2/4,Impressionism
33,Images 2eme serie Part 1,Debussy,4/4,Impressionism
34,Images 2eme serie Part 2,Debussy,4/4,Impressionism
35,Images 2eme serie Part 3,Debussy,3/4,Impressionism
36,Images Oubliees Part 1,Debussy,3/4,Impressionism
37,Images Oubliees Part 2,Debussy,3/4,Impressionism
38,Images Oubliees Part 3,Debussy,4/4,Impressionism
39,L'Isle joyeuse,Debussy,4/4,Impressionism
40,La Boite a Joujoux Part 1,Debussy,2/2,Impressionism
41,La Boite a Joujoux Part 2,Debussy,3/4,Impressionism
42,La Boite a Joujoux Part 3,Debussy,3/4,Impressionism
43,La Boite a Joujoux Part 4,Debussy,4/4,Impressionism
44,La Boite a Joujoux Part 5,Debussy,6/8,Impressionism
45,La Boite a Joujoux Part 6,Debussy,2/2,Impressionism
46,La Plus que Lente,Debussy,3/4,Impressionism
47,Les soirs illuminés par l'ardeur du charbon,Debussy,4/4,Impressionism
48,Masques,Debussy,6/8,Impressionism
49,Mazurka,Debussy,3/4,Impressionism
50,Morceau de concours,Debussy,2/4,Impressionism
51,Nocturne,Debussy,4/4,Impressionism
52,Pièce pour le Vêtement du blessé,Debussy,3/4,Impressionism
53,Pour le Piano Part 1,Debussy,3/4,Impressionism
54,Pour le Piano Part 2,Debussy,3/4,Impressionism
55,Pour le Piano Part 3,Debussy,2/4,Impressionism
56,"Preludes, Livre 1 part 10",Debussy,6/4,Impressionism
57,"Preludes, Livre 1 part 11",Debussy,2/4,Impressionism
58,"Preludes, Livre 1 part 12",Debussy,2/4,Impressionism
